Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRatio,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
68035,1022.207,355.899595126562,244.028108690571,1.4584368867844,0.727916676436447,69243,294.32100235297,0.797017408214428,0.982554193203645,0.818209564412749,0.826977626227156,0.005231125084538,0.001509210810085,0.683891994280302,0.997413311034937,BARBUNYA
66871,990.128,372.968458458255,229.417889869407,1.62571654141951,0.788438664233762,67765,291.792394684963,0.801868239921337,0.986807348926437,0.857166120933898,0.782351397464411,0.005577432047648,0.001288906759005,0.612073709114516,0.995058353475465,BARBUNYA
89235,1197.862,395.687960627087,288.807741369016,1.37007394175597,0.683567166637091,90764,337.071996425752,0.769081600992864,0.98315411396589,0.781504559497435,0.851863159777619,0.004434223798141,0.001440378793455,0.72567084298631,0.99422271226763,BARBUNYA
60408,999.737,369.487534525375,208.936425411423,1.76842086676752,0.824764579009784,61404,277.333471507429,0.742477876106195,0.983779558334962,0.759508765148215,0.750589520871595,0.006116533150003,0.001197553940074,0.563384628842251,0.99630113366071,BARBUNYA
70344,1037.985,378.651094871609,237.909773243875,1.59157435908891,0.77796413191203,71521,299.273725099365,0.8213535098781,0.983543294976301,0.820455005810752,0.790368043702187,0.005382848499824,0.001295714770003,0.624681644505622,0.994227287988643,BARBUNYA
78414,1108.022,352.24477590332,285.34739788048,1.23444187162646,0.586315635885106,80312,315.974375006682,0.705936369037973,0.976367168044626,0.802613952946784,0.897030691786346,0.004492115896438,0.00179415485959,0.80466406200669,0.99331101073409,BARBUNYA
67666,1005.38,345.897745218602,250.206384597779,1.38244971556043,0.690477767158759,68744,293.521765860812,0.731935790931118,0.984318631444199,0.841239943018937,0.848579587228332,0.005111839701159,0.001635035969966,0.720087315860607,0.995484504990165,BARBUNYA
62504,989.061,347.194170430147,230.949325064495,1.5033348563941,0.746676098354128,63945,282.103818662787,0.765361349888571,0.977465008992102,0.80291860346459,0.812524640933002,0.005554751222804,0.00149344948584,0.660196292123304,0.992496098011105,BARBUNYA
80784,1264.547,394.39575075977,261.848458831599,1.50619848029511,0.747800832957619,82343,320.713865278515,0.696672042222548,0.981067000230742,0.634841437209134,0.813177790736048,0.004882102282132,0.001316826845791,0.661258119346361,0.995985974442289,BARBUNYA
72741,1036.035,374.02420719338,248.809760378518,1.50325375750683,0.746644127082796,74004,304.329948778592,0.800363096220499,0.982933354953786,0.851609066954823,0.813663776102186,0.005141862322396,0.001390209122565,0.662048740540868,0.995227256870722,BARBUNYA
79992,1119.069,402.486441285119,253.828126093633,1.58566525892662,0.776067274703793,81244,319.137866230968,0.715108170927946,0.984589631234306,0.802680456299817,0.79291581900741,0.005031583674431,0.001226853740232,0.628715496032191,0.996932319807062,BARBUNYA
74155,1093.586,393.05634174383,240.704105916433,1.63294406735334,0.790555153606154,75479,307.273621451364,0.800464162348878,0.982458697121054,0.779191882846987,0.781754646390176,0.00530046985023,0.001221169688789,0.61114032715263,0.997957971544268,BARBUNYA
72937,1113.897,399.279991761414,233.250545582068,1.71180732188654,0.811625643748987,74443,304.739680176948,0.784049620536194,0.979769756726623,0.738699307116581,0.763223017593734,0.005474313335638,0.00114581697656,0.582509374584886,0.997143812481958,BARBUNYA
55676,934.071,333.102779952971,215.622860779896,1.54483981312629,0.762221490767393,57508,266.249666464908,0.799356793154441,0.968143562634764,0.801896120854314,0.799301844621347,0.005982879157141,0.001506375538329,0.638883438815088,0.986972572228582,BARBUNYA
86088,1215.805,417.955283707988,263.640592988198,1.5853221955342,0.775956354037322,88243,331.074985354014,0.736380199645872,0.975578799451515,0.731854305670902,0.792130159037122,0.004854977275671,0.001179106840192,0.627470188856177,0.994742417429732,BARBUNYA
75279,1124.613,383.138814230481,251.694013993006,1.52224047029234,0.753954682740313,76654,309.593604081412,0.789253512266723,0.982062253763666,0.747958507715903,0.808045524448414,0.00508958426959,0.001338459975641,0.652937569581113,0.993927992990691,BARBUNYA
66040,1020.017,369.252114638155,229.048329116706,1.61211442171234,0.78436199282945,67289,289.97368765857,0.722617354196301,0.981438273714872,0.797631154645637,0.785300005506339,0.005591340318567,0.001311710790681,0.616696098648256,0.994184674444587,BARBUNYA
